tract,population,total_area_flood_1,TAFSQM,GAHSQM,LNDSQM,TTLSQM,IBuff_Pop,BWDP_Pop,WVW_Pop
36047042000,1896,0,0.155589571986283,0.0406239246259181,168546,168546,0.889240506329114,0.329113924050633,0
36047044100,5643,0,0.122951224502755,0.0160162561472084,141731,141731,0.993974836080099,0.296473506999823,0
36081037700,4227,0,0.175657625732588,0.0384012539184953,146740,146740,0.908918854979891,0.0137213153536787,0
36081045500,12330,0,0.101861150600603,0.0474873814771823,153346,153346,0.872181670721817,0.498296836982968,0
36081050600,1553,0,0.259891144054641,0.153305456380006,206144,206144,0.921442369607212,0.00708306503541533,0
36081055200,3064,0,0.289011767768559,0.107546605859298,414862,414862,0.849869451697128,0.880874673629243,0
36047054600,4346,0,0.170778041161745,0.028694698597665,180556,180557,0.861251725724804,0.0807639208467557,0
36047061200,1076,0.83262384471252,0.261962102967238,0.115725804415767,198063,237495,0.442379182156134,0,0.162639405204461
36047064200,2518,0,0.210628479967307,0.104901326431576,234916,234916,0.89714058776807,0.00238284352660842,0
36047067000,2680,0,0.174044217262219,0.0687039403518549,208154,208154,0.868283582089552,0.423880597014925,0
36047069602,5995,0.0400719093393823,0.151957105026518,0.193742977026588,686141,860528,0.17581317764804,0.0073394495412844,0.000667222685571309
36081062400,1,0,0.14716399482845,0.734748391655634,515126,515126,1,1,0
36081071305,4871,0,0.166509316394891,0.0813060324317792,132401,132408,0.710737014986656,0,0
36047070201,6573,0.042501991993664,0.253210405971428,0.136294391659255,1022067,1251259,0.12779552715655,0.422790202342918,0.124600638977636
36047086200,2996,0,0.0980194768106009,0.0421664381996801,140064,140064,0.982309746328438,0.323097463284379,0
36047093000,2547,0,0.124265232420959,0.0880484676135573,194109,194109,0.879466038476639,0,0
36047099000,1422,0,0.145211758235042,0.121334718572389,163630,163630,0.763009845288326,0,0
36081092200,2206,0.0988687106933589,0.173874575366663,0.183738084129285,640847,1024318,0.801903898458749,0.129193109700816,0.043064369900272
36081098700,2444,0.051394430852924,0.162646946028947,0.133663889551545,662318,1352559,0.13911620294599,0.121112929623568,0.012684124386252
36081100801,2327,0.28841076491109,0.216614599049766,0.334340664217122,676044,954843,0,0.19209282337774,0.080790717662226
36081114100,2406,0,0.300742629524771,0.143761108183661,447868,447868,0.42477140482128,0.400249376558604,0
36047100800,2124,0,0.139556606880053,0.0908761012586773,148807,148807,0.0993408662900188,0.14924670433145,0
36047114400,2403,0,0.0618767447654127,0.0439838043860405,429499,429500,0.863503953391594,0,0
36081161700,4297,0,0.201667707921613,0.154407483435546,705879,705879,0.673725855247847,0.398417500581801,0
36005016900,1663,0,0.0994960046522648,0.109802063365569,92858,92858,0.8749248346362,0,0
36047013500,3596,0,0.255121202337733,0.045140375961152,151771,151771,0.685761957730812,0,0
36047099600,3631,0,0.20388743835219,0.0725479336445394,189585,189585,0.569540071605618,0.073533461856238,0
36081010400,3147,0,0.113007506291012,0.071199772504118,186377,186377,0.683190340006355,0.995869081665078,0
36081015200,2721,0,0.138701895220337,0.084953067222907,189846,189846,0.932377802278574,0.384049981624403,0
36081024700,1509,0,0.149354906819874,0.0601420205140743,89987,89987,0.783300198807157,0,0
36081120500,3024,0,0.160018009014402,0.0923852543773284,202121,202121,0.0482804232804233,0.0598544973544974,0
36047023600,5600,0,0.187906494485814,0.0186457253275521,169744,169746,0.756785714285714,1,0
36047024800,2698,0,0.071133393586967,0.0129772684640439,175923,175923,0.992957746478873,0.56412157153447,0
36047029500,3425,0,0.231719995379462,0.0630642680398582,164483,164483,0.619270072992701,0,0
36047033500,3139,0,0.190680828912247,0.0774142456832102,180574,180574,0.500477859190825,0.802166294998407,0
36047036001,3217,0.246869108182977,0.0749573387827333,0.0172435586828744,94934,94941,0.150761579110973,0,0
36081019000,1969,0,0.224129037061461,0.101840575625269,188039,188039,0.965464702894871,0.366683595733875,0
36081025302,2876,0,0.100249078214482,0.0263689495567585,101976,101976,0.835883171070932,0,0
36081027400,1735,0,0.179934144117176,0.145363286389552,143647,143647,0.561959654178674,0.00922190201729107,0
36081033900,3400,0,0.192026798447813,0.0460548572186661,150755,150755,0.512352941176471,0,0
36047100600,2489,0,0.190017628331623,0.0799457994579946,152028,152028,0.169144234632382,0.37525110486139,0
36047024700,2316,0,0.0810139792919722,0.0512702205377496,182055,182055,0.920120898100173,0.0151122625215889,0
36047025400,3500,0,0.0807086165214615,0.019061031793094,175384,175384,0.881714285714286,0.960285714285714,0
36047025700,2131,0,0.0673708518172728,0.0652826040118666,181013,181013,1,0,0
36047026300,1868,0,0.28134490057139,0.153095797813156,119533,119533,0.624732334047109,0,0
36047026500,3838,0,0.234913171587988,0.0668610118487869,159510,159510,0.166753517457009,0,0
36047026800,4188,0,0.158506516379007,0.0089289208697451,178857,178857,0.801337153772684,0.258595988538682,0
36047026900,2770,0,0.212597954625251,0.0619215167746129,133863,133863,0.398916967509025,0,0
36047027300,2813,0,0.241777118298544,0.0787164217013227,149613,149613,0.317810167081408,0.0181301102026306,0
36047027400,3028,0,0.0950735929144999,0.0113497853157176,163263,163263,0.908190224570674,0.316380449141347,0
36047027700,3945,0,0.217752538501898,0.0613067497916731,162005,162005,0,0,0
36047027900,3674,0,0.179264871278318,0.0991336159483877,161822,161822,0.954545454545455,0,0
36047028000,1761,0.0103778952202732,0.0718997834473462,0.0715555937988498,139458,145887,0.936399772856332,0,0
36047028400,4003,0,0.0680158145145078,0.0292227373243255,164153,164153,0.818636022982763,0,0
36047028800,3458,0,0.0954672848237205,0.024012520299649,152712,152714,0.882301908617698,0.445344129554656,0
36047029600,5546,0,0.0719596599698104,0.0335637276206766,213981,213985,0.918139199423008,0.630905156869816,0
